ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,UT-Magnitude,UT-UT1,UT-UT2
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",86,7.69999981,0.,0.,NA,NA,"",1.60233607E-03,-384.998246E-06,-1.55539613E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",87,7.80000019,0.,0.,NA,NA,"",1.61336770E-03,-389.998226E-06,-1.56552123E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",88,7.90000010,0.,0.,NA,NA,"",1.62402471E-03,-394.998206E-06,-1.57525635E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",89,8.,0.,0.,NA,NA,"",1.63430243E-03,-399.998185E-06,-1.58459647E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",90,8.10000038,0.,0.,NA,NA,"",1.64419657E-03,-404.998194E-06,-1.59353658E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",91,8.19999981,0.,0.,NA,NA,"",1.65370246E-03,-409.998116E-06,-1.60207157E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",92,8.30000019,0.,0.,NA,NA,"",1.66281604E-03,-414.998125E-06,-1.61019678E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",93,8.39999962,0.,0.,NA,NA,"",1.67153252E-03,-419.998076E-06,-1.61790685E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",94,8.5,0.,0.,NA,NA,"",1.67984783E-03,-424.998085E-06,-1.62519701E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",95,8.60000038,0.,0.,NA,NA,"",1.68775744E-03,-429.998065E-06,-1.63206214E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",96,8.69999981,0.,0.,NA,NA,"",1.69525703E-03,-434.998015E-06,-1.63849723E-03
